Municipality,Vaccinated,Median income,Unemployment,Median age,Pensioners,Immigrants,Rural,M,C,L,KD,S,V,MP,SD,Turnout
Ale,0.7895,324442,0.057,39.4,0.175,0.173,0,0.1883,0.0703,0.0473,0.0627,0.2794,0.0765,0.0393,0.2225,0.8788
Alingsås,0.8419,304105,0.062,42.2,0.229,0.121,0,0.1831,0.0978,0.0674,0.0859,0.2636,0.0779,0.0577,0.1531,0.8977
Alvesta,0.8011,280949,0.100,41.8,0.228,0.202,0,0.1777,0.0912,0.0285,0.0743,0.2864,0.0500,0.0261,0.2514,0.8832
Aneby,0.8572,287522,0.069,42.7,0.234,0.132,0,0.1619,0.1278,0.0339,0.1454,0.2392,0.0401,0.0234,0.2111,0.8994
Arboga,0.8386,269582,0.099,44.9,0.265,0.150,1,0.1867,0.0681,0.0387,0.0512,0.3376,0.0575,0.0317,0.2170,0.8746
Arjeplog,0.8746,267985,0.066,47.6,0.305,0.102,1,0.0886,0.0772,0.0288,0.0718,0.3518,0.1430,0.0207,0.2028,0.8405
Arvidsjaur,0.8607,280544,0.080,45.9,0.279,0.088,1,0.0929,0.0934,0.0359,0.0390,0.4465,0.1056,0.0093,0.1643,0.8543
Arvika,0.8918,266504,0.078,45.0,0.270,0.125,1,0.1513,0.0944,0.0357,0.0567,0.3399,0.0835,0.0358,0.1854,0.8593
Askersund,0.8567,279892,0.055,46.4,0.294,0.090,0,0.1645,0.0918,0.0304,0.0675,0.3216,0.0545,0.0230,0.2329,0.8855
Avesta,0.8352,273924,0.105,44.3,0.261,0.181,1,0.1577,0.0675,0.0292,0.0502,0.3480,0.0652,0.0222,0.2468,0.8671
Bengtsfors,0.8385,242428,0.129,47.0,0.305,0.194,1,0.1429,0.0928,0.0263,0.0742,0.3176,0.0532,0.0233,0.2588,0.8543
Berg,0.8219,248891,0.066,46.3,0.296,0.086,0,0.1527,0.1690,0.0167,0.0456,0.3200,0.0629,0.0223,0.1965,0.8560
Bjurholm,0.8767,243815,0.087,46.6,0.301,0.106,0,0.1790,0.1468,0.0498,0.0762,0.2924,0.0504,0.0145,0.1865,0.8494
Bjuv,0.7086,263582,0.111,40.6,0.190,0.256,0,0.1435,0.0361,0.0261,0.0420,0.3037,0.0363,0.0183,0.3836,0.8271
Boden,0.8764,289610,0.073,44.4,0.256,0.100,0,0.1432,0.0623,0.0361,0.0461,0.4176,0.0810,0.0222,0.1776,0.8795
Bollebygd,0.8383,320807,0.050,41.7,0.215,0.106,0,0.2023,0.0887,0.0560,0.0773,0.2339,0.0517,0.0409,0.2387,0.9072
Bollnäs,0.8311,262817,0.112,44.5,0.267,0.117,1,0.1398,0.1134,0.0341,0.0592,0.3460,0.0765,0.0250,0.1957,0.8545
Borgholm,0.8805,247737,0.066,51.1,0.376,0.105,1,0.1890,0.1419,0.0342,0.0834,0.2373,0.0566,0.0314,0.2139,0.8859
Borlänge,0.8155,283148,0.092,40.9,0.207,0.183,0,0.1709,0.0743,0.0438,0.0512,0.3271,0.0758,0.0392,0.2031,0.8723
